,noise scale,Log Likelihood PSO,Log Likelihood RS,Log Likelihood DE
0,1.0,-34616.95287858116,-43460.23264961819,-34611.012888740916
1,1.0,-34611.14180285219,-34837.48970013024,-34612.974428086214
2,1.0,-34611.4673238013,-37487.054002958306,-34611.012888740785
3,1.0,-34611.02602987113,-37802.8599307643,-34611.01288874154
4,1.0,-34611.04464114855,-42079.25174829141,-34611.01288874277
5,1.0,-34611.436240481955,-41935.578640687185,-34611.01288875248
6,1.0,-34611.02813689807,-41438.685549229114,-34611.01288874304
7,1.0,-55155.847524688375,-44238.59244684825,-34611.012888748286
8,1.0,-34611.064246200964,-44025.233522058414,-34611.012888741025
9,1.0,-34611.047553795266,-36346.71198431619,-34611.01288874111
10,5.0,-41573.25467090451,-51637.40331106474,-41573.155900556514
11,5.0,-41573.165738168136,-46456.79254128967,-41573.15590055056
12,5.0,-41573.16166249924,-44959.099857677735,-41573.15590055038
13,5.0,-41573.22412457797,-42501.35630117778,-41573.155900550184
14,5.0,-41573.268330468636,-45244.6260729627,-41573.15590055082
15,5.0,-41573.27954465092,-45365.77984157072,-41573.1559005505
16,5.0,-41573.18541917909,-45866.68926194119,-41573.155900552825
17,5.0,-41573.33490156072,-47404.8798340871,-41573.155900550875
18,5.0,-41573.597498819305,-47449.19227868766,-41573.15590055025
19,5.0,-41573.16195155163,-47762.19227868799,-41573.15590055064
20,10.0,-52869.70551550214,-57989.86693439796,-52869.60388712299
21,10.0,-52870.26242840896,-57765.431586782215,-52869.60388717526
22,10.0,-52871.79422358113,-53185.60465700966,-52869.603887122736
23,10.0,-52869.60431744683,-53988.49484666135,-52869.60388712274
24,10.0,-52869.683861498466,-54037.05840345577,-52869.603887123194
25,10.0,-52869.86738971368,-53748.281165892295,-52869.60388712298
26,10.0,-52869.7632358733,-57549.50599563991,-52869.60388712304
27,10.0,-52869.619267457376,-55362.12423501715,-52869.6038871236
28,10.0,-52869.656564231234,-55384.265089611465,-52869.6038871228
29,10.0,-52869.6041735993,-55964.06400277207,-52869.60388712273
30,30.0,-103021.11730417254,-104878.5956920492,-103021.1153099607
31,30.0,-103021.13659370928,-103096.0696985766,-103021.11530985912
32,30.0,-103021.11979463881,-103089.80076363438,-103021.11530985916
33,30.0,-103021.1488759558,-103189.0165461579,-103021.11530988329
34,30.0,-103021.3023162674,-104645.16557333566,-103021.11530985995
35,30.0,-103021.11868974683,-103126.02045739692,-103021.11530996855
36,30.0,-103021.13867857814,-103030.54882917418,-103021.11530985906
37,30.0,-103021.23442033917,-104648.43422358586,-103021.11530985913
38,30.0,-103021.21606112682,-103423.46136564764,-103021.11530985954
39,30.0,-103021.19727270129,-104314.86104824308,-103021.11531051119
40,50.0,-169076.49592763433,-169331.6003896533,-174051.13784097548
41,50.0,-174051.13787422143,-169317.33283381266,-169074.65822487374
42,50.0,-169074.6705580744,-171022.53058653086,-171494.1164214988
43,50.0,-169074.79176185624,-169266.3724093186,-169221.91383673268
44,50.0,-169074.73995775307,-169239.0780819844,-171494.1164215468
45,50.0,-169167.24501072374,-169472.37591365827,-169074.6582248737
46,50.0,-169074.65910077162,-169284.30671518398,-169074.6582248813
47,50.0,-169074.67626597415,-169531.35125151166,-169074.65822487595
48,50.0,-169074.663226662,-170257.7136626045,-169074.6582248808
49,50.0,-169074.67258083314,-169369.84390627412,-169221.91383673146
50,70.0,-261262.77220023735,-261633.54891444152,-261890.90495024933
51,70.0,-261262.74794953468,-262700.5402746246,-261262.74370861967
52,70.0,-261262.7504908425,-263773.26355404215,-261262.74370863097
53,70.0,-261262.81094034133,-261728.7280048855,-261262.74370861604
54,70.0,-261262.76497680345,-261951.8602200372,-261262.74370861542
55,70.0,-261262.74488921787,-261868.94731775508,-261262.74370863574
56,70.0,-261262.74377563922,-261970.06517958795,-263262.5513749984
57,70.0,-261262.7575166339,-261601.1953696872,-266727.7626019361
58,70.0,-261263.18475031873,-262282.9628077086,-261262.74370896944
59,70.0,-261262.74387465487,-262731.01450434147,-261262.74370861464
