,optim,n,log_likelihood
0,DEOptim,10,-5316.674214491863
1,DEOptim,10,-5315.400923006423
2,DEOptim,10,-6532.727249093177
3,DEOptim,10,-5315.400922954606
4,DEOptim,10,-5315.4009241314625
5,DEOptim,10,-5315.400922992017
6,DEOptim,10,-5315.400923222463
7,DEOptim,10,-5315.400924130468
8,DEOptim,10,-5315.400923314415
9,DEOptim,10,-5315.400923181208
10,DEOptim,10,-5315.400923070234
11,DEOptim,10,-5315.51553559674
12,DEOptim,10,-5315.400922941546
13,DEOptim,10,-5315.400925244537
14,DEOptim,10,-5315.400922944799
15,DEOptim,10,-5315.400923343348
16,DEOptim,10,-5315.400922944388
17,DEOptim,10,-5315.400922984373
18,DEOptim,10,-5315.400923165477
19,DEOptim,10,-5315.400923190217
20,DEOptim,50,-26606.71668500022
21,DEOptim,50,-26606.716684991803
22,DEOptim,50,-26606.716684992112
23,DEOptim,50,-26606.716684993396
24,DEOptim,50,-26606.716684991774
25,DEOptim,50,-26606.716684991618
26,DEOptim,50,-26606.716684991727
27,DEOptim,50,-26606.716684991996
28,DEOptim,50,-26606.716684991476
29,DEOptim,50,-26606.716684991858
30,DEOptim,50,-26606.716684991443
31,DEOptim,50,-26606.71675097086
32,DEOptim,50,-26606.716684991527
33,DEOptim,50,-26606.71668500842
34,DEOptim,50,-26606.716684991596
35,DEOptim,50,-26606.716684992065
36,DEOptim,50,-26606.71668499165
37,DEOptim,50,-26606.716684997
38,DEOptim,50,-26606.716684991436
39,DEOptim,50,-26606.716684991457
40,DEOptim,100,-36621.09798943723
41,DEOptim,100,-36621.09798943776
42,DEOptim,100,-36621.09798943703
43,DEOptim,100,-36621.097989439186
44,DEOptim,100,-36621.0979894445
45,DEOptim,100,-36621.09798943822
46,DEOptim,100,-36621.097989437076
47,DEOptim,100,-36621.0979894394
48,DEOptim,100,-36621.09798946499
49,DEOptim,100,-36621.097989438254
50,DEOptim,100,-36621.09798943756
51,DEOptim,100,-36621.09798945574
52,DEOptim,100,-36621.09798948506
53,DEOptim,100,-36621.09798943713
54,DEOptim,100,-36621.09798943745
55,DEOptim,100,-36621.097989436654
56,DEOptim,100,-36621.09798943667
57,DEOptim,100,-36621.097989438065
58,DEOptim,100,-36621.097989437534
59,DEOptim,100,-36621.09798943715
60,DEOptim,500,-49518.65037647568
61,DEOptim,500,-49517.32978174421
62,DEOptim,500,-49529.473970526364
63,DEOptim,500,-49514.180682805294
64,DEOptim,500,-49522.081323301456
65,DEOptim,500,-49517.679706319475
66,DEOptim,500,-49544.87405662913
67,DEOptim,500,-49514.94969687299
68,DEOptim,500,-49545.76979646033
69,DEOptim,500,-49514.843638772945
70,DEOptim,500,-49515.96897628217
71,DEOptim,500,-49514.66465801421
72,DEOptim,500,-49514.385576925015
73,DEOptim,500,-49515.41532443592
74,DEOptim,500,-49521.662957647844
75,DEOptim,500,-49518.27388225336
76,DEOptim,500,-49524.1765423967
77,DEOptim,500,-49520.22161421394
78,DEOptim,500,-49515.862878775224
79,DEOptim,500,-49515.254521826006
80,RandomOptim,10,-5329.425246710904
81,RandomOptim,10,-5634.163703746113
82,RandomOptim,10,-5598.554029577386
83,RandomOptim,10,-6144.195616271176
84,RandomOptim,10,-5781.926018136594
85,RandomOptim,10,-5692.631040627723
86,RandomOptim,10,-6160.898475085672
87,RandomOptim,10,-5400.9324538994715
88,RandomOptim,10,-5524.787539002602
89,RandomOptim,10,-5596.646833825867
90,RandomOptim,10,-5584.1395219218175
91,RandomOptim,10,-5686.364064777989
92,RandomOptim,10,-5429.183192802234
93,RandomOptim,10,-5549.842658490814
94,RandomOptim,10,-5727.288431375613
95,RandomOptim,10,-5816.166602405346
96,RandomOptim,10,-5503.706602349236
97,RandomOptim,10,-5555.413491636888
98,RandomOptim,10,-5800.069653009139
99,RandomOptim,10,-5415.637204609855
100,RandomOptim,50,-30302.469184457736
101,RandomOptim,50,-27710.20648032949
102,RandomOptim,50,-26647.57276787526
103,RandomOptim,50,-28230.023372321375
104,RandomOptim,50,-36509.48317968583
105,RandomOptim,50,-28320.426212458944
106,RandomOptim,50,-30875.210378024258
107,RandomOptim,50,-35988.297065938445
108,RandomOptim,50,-35029.3596051474
109,RandomOptim,50,-27377.426969034328
110,RandomOptim,50,-33237.948662531635
111,RandomOptim,50,-26675.213879268118
112,RandomOptim,50,-30624.11471091591
113,RandomOptim,50,-29375.606780263548
114,RandomOptim,50,-27560.255312854402
115,RandomOptim,50,-29179.07500990092
116,RandomOptim,50,-26989.592462369677
117,RandomOptim,50,-30289.33409452551
118,RandomOptim,50,-27175.88935786922
119,RandomOptim,50,-28296.713500753613
120,RandomOptim,100,-55296.06690192018
121,RandomOptim,100,-36812.780213547965
122,RandomOptim,100,-41065.302053797524
123,RandomOptim,100,-42482.68719395718
124,RandomOptim,100,-51044.671463880215
125,RandomOptim,100,-46848.037680519206
126,RandomOptim,100,-50957.36244241344
127,RandomOptim,100,-48903.961696179496
128,RandomOptim,100,-48969.0884568661
129,RandomOptim,100,-41190.15951613691
130,RandomOptim,100,-44645.6289814835
131,RandomOptim,100,-38381.109771232965
132,RandomOptim,100,-41764.69309301673
133,RandomOptim,100,-39954.489593121885
134,RandomOptim,100,-42798.77632014567
135,RandomOptim,100,-46760.96772699319
136,RandomOptim,100,-42286.131661561165
137,RandomOptim,100,-47841.7542258054
138,RandomOptim,100,-36635.7791022709
139,RandomOptim,100,-40090.35242727336
140,RandomOptim,500,-111083.72023766114
141,RandomOptim,500,-51183.77499182102
142,RandomOptim,500,-55348.16355331956
143,RandomOptim,500,-64676.0233524885
144,RandomOptim,500,-88580.82557993729
145,RandomOptim,500,-87222.50995339075
